,H,OMEGA_M,OMEGA_L,W0,WA,Z,ANGLE,ell0,ell1,ell2,ell3,ell4,ell5,ell6,ell7,ell8,ell9,ell10,ell11,ell12,ell13,ell14,ell15,ell16,ell17,ell18,ell19,ell20,ell21,ell22,ell23,ell24,ell25,ell26,ell27,ell28,ell29,ell30,ell31,ell32,ell33,ell34,ell35,ell36
0,0.72,0.3,0.7,-1.0,0.0,1.0,3.5,2.6385701550747684e-08,0.0,0.0,2.2569153493745783e-08,0.0,0.0,3.2436656616993676e-09,6.8537115182745575e-09,0.0,0.0,6.769154189786359e-09,1.8592821061753558e-09,1.6751676358820928e-09,3.9310519080673235e-09,2.6514791393092814e-09,2.147646655915521e-09,2.264875302649723e-09,1.8652186127259436e-09,1.3618458648519858e-09,1.5060274399543694e-09,1.7707599694391468e-09,1.01203878670934e-09,1.2603085883814483e-09,7.384919729556791e-10,7.925844128082668e-10,6.337388173802887e-10,5.782052516816142e-10,4.798125409877729e-10,3.931029058416444e-10,3.344692161776939e-10,3.0280466582576637e-10,2.3260336486913297e-10,2.0239655836952294e-10,1.4917335865655995e-10,1.417840750346905e-10,1.0149570835888792e-10,8.308501601811993e-11
0,0.72,0.3,0.7,-1.0,0.0,1.0,3.5,3.716203621842624e-08,0.0,0.0,1.238117363485335e-09,0.0,0.0,9.201602018171301e-09,1.128249534239516e-08,0.0,0.0,4.5054332314530634e-09,5.131613884198314e-09,4.278490945372996e-09,1.913161963858597e-09,1.926315728601823e-09,3.1526932046224035e-09,1.5840247373173332e-09,2.2717872786379677e-09,2.3696042826673128e-09,9.133627539698747e-10,1.842436004462304e-09,1.6191530638432568e-09,1.1661435155574229e-09,8.530476157416585e-10,7.859784204438263e-10,6.018362111039212e-10,5.897726526277268e-10,4.983516486001795e-10,4.281514731439679e-10,3.552820008433479e-10,2.7685357013019147e-10,2.491531419672374e-10,1.8012378456594494e-10,1.6078808492986878e-10,1.3398938065805048e-10,9.312004495066535e-11,8.1318281873628e-11
0,0.72,0.3,0.7,-1.0,0.0,1.0,3.5,1.4014316832338857e-08,0.0,0.0,1.2766297914688659e-08,0.0,0.0,2.456495837688633e-09,1.4198318405628385e-09,0.0,0.0,1.1251342643888567e-09,2.507610075542944e-09,3.104359401902574e-09,2.454914240756947e-09,1.8301300057125606e-09,1.8606683314756711e-09,1.5431984851853978e-09,1.3457734548428975e-09,2.0099534990509947e-09,2.07539314616223e-09,1.219252284715836e-09,9.379783385939122e-10,7.564995878215565e-10,6.968398938995797e-10,6.838855850541848e-10,6.668622658978974e-10,6.454332416358252e-10,4.008559460855624e-10,3.911014666912537e-10,3.065876898062036e-10,2.6815560979629113e-10,2.069721462548413e-10,1.7152488186221682e-10,1.4137429491218137e-10,1.2290613408585157e-10,9.445603872398438e-11,7.330261416345692e-11
0,0.72,0.3,0.7,-1.0,0.0,1.0,3.5,2.36675675202373e-09,0.0,0.0,1.1810871770921613e-08,0.0,0.0,8.806493720139725e-09,5.078197176011866e-09,0.0,0.0,4.0261464332942995e-09,5.417698611385214e-09,3.7110583883777634e-09,3.0744496782796224e-09,1.369921933466666e-09,2.233512169287428e-09,1.4723480550841134e-09,2.1816411588586667e-09,1.3126855135380405e-09,1.6055240908701912e-09,1.0099529782599533e-09,9.846586286414908e-10,7.213603107116545e-10,8.045748997759574e-10,8.170423761875508e-10,4.848960072994025e-10,5.436137321927744e-10,4.217154233451558e-10,3.895452567420191e-10,2.6766639415649026e-10,2.4596013345353345e-10,2.380105595859677e-10,1.893563681490159e-10,1.4036706745466897e-10,1.2659343544433301e-10,9.299833029196433e-11,7.566784890216784e-11
0,0.72,0.3,0.7,-1.0,0.0,1.0,3.5,1.881097314319002e-08,0.0,0.0,1.2338333036366319e-08,0.0,0.0,1.1719778768653229e-08,3.3346812084257373e-09,0.0,0.0,2.1635758339266676e-09,2.9809138414160244e-09,2.5469938666927543e-09,1.5758747817878198e-09,1.9674363452856376e-09,2.479310143778651e-09,1.877150454680989e-09,1.4364881490126132e-09,1.2183235501841131e-09,1.881707150497548e-09,1.4087176845605742e-09,8.569048615216656e-10,8.122837944434421e-10,6.107908524476409e-10,5.61758604706223e-10,7.576126517260066e-10,5.947719512713853e-10,4.3286832579702265e-10,3.892886853205818e-10,3.1512428898632824e-10,3.355136294162531e-10,2.1206372981966898e-10,2.0220114277146776e-10,1.757444278764929e-10,1.1763224873535117e-10,1.0444408119685711e-10,8.547745595032146e-11
0,0.72,0.3,0.7,-1.0,0.0,1.0,3.5,3.33809026967162e-09,0.0,0.0,6.575418018898094e-09,0.0,0.0,3.477691132121566e-09,5.040408978102092e-09,0.0,0.0,3.145569011752667e-09,4.468911955296889e-09,2.7827374203230342e-09,2.8196078782988733e-09,2.6794858687884338e-09,2.146948142894971e-09,1.7372781278592592e-09,8.874067224969468e-10,1.0442366309191064e-09,1.9863036193802916e-09,1.188267738025565e-09,7.698273082929036e-10,7.156125205818455e-10,8.220399263218893e-10,7.450017620866454e-10,5.918281416551038e-10,5.03470596288934e-10,5.299928601917302e-10,3.269970818498216e-10,3.260214342974388e-10,2.679492449251263e-10,2.0151164863650517e-10,1.9224424458133118e-10,1.609474104598108e-10,1.1392882079160041e-10,9.513486643354533e-11,7.433507546886703e-11
0,0.72,0.3,0.7,-1.0,0.0,1.0,3.5,7.41019382174494e-09,0.0,0.0,5.2463491073975894e-09,0.0,0.0,1.4383952207338768e-08,5.527970233456427e-09,0.0,0.0,2.114561073252832e-09,1.8238968735589433e-09,2.3411971970323986e-09,2.912659300140978e-09,1.5222521986065442e-09,2.1077559190843336e-09,3.556774940985761e-09,1.790583368750808e-09,1.8479372577475828e-09,1.7924380228686687e-09,9.357324005308884e-10,1.0259393198717146e-09,9.37021683103604e-10,6.896005709001635e-10,6.089422737386623e-10,7.033425639691155e-10,5.463426883508299e-10,4.842680941480867e-10,4.3947417794162147e-10,3.1040904195014993e-10,2.949872455171882e-10,2.4519803469013915e-10,1.9014828461159036e-10,1.7916063043431063e-10,1.3974556988895695e-10,9.966278018375869e-11,8.378268533459286e-11
0,0.72,0.3,0.7,-1.0,0.0,1.0,3.5,1.9273023671928963e-08,0.0,0.0,7.139140999663627e-09,0.0,0.0,5.132495898539811e-09,4.235771918333536e-09,0.0,0.0,2.957319176477502e-09,5.59928983116275e-09,3.8067625327577735e-09,2.9270657917191683e-09,2.1691862638635467e-09,1.3009723422629207e-09,1.7630563809876809e-09,1.999168976932697e-09,1.1431326770575927e-09,2.2471241654745103e-09,1.282515840334112e-09,1.0526584959278845e-09,1.1094344594337671e-09,6.215719123862266e-10,5.455627609633208e-10,5.417086536457005e-10,4.715198165031455e-10,4.5854415402892615e-10,3.2608198029003915e-10,2.938994134453733e-10,2.486044609758904e-10,2.189284335874836e-10,1.5891077383843443e-10,1.3244573093084335e-10,1.0504283667732519e-10,9.133978419419349e-11,7.358422949431841e-11
0,0.72,0.3,0.7,-1.0,0.0,1.0,3.5,2.380842579878429e-08,0.0,0.0,9.832540093618447e-09,0.0,0.0,1.3475513070424685e-08,7.240780907521127e-09,0.0,0.0,4.201929884218566e-09,3.621725602269375e-09,3.0942350386962857e-09,3.1105856462645086e-09,3.830115263163681e-09,2.6022745398889654e-09,3.6611193750302356e-09,2.3091743721553415e-09,2.396077811520439e-09,1.8550129915723443e-09,2.057517235501954e-09,1.6616417195744725e-09,9.845238467270937e-10,7.063649163319344e-10,8.512094358443308e-10,9.278457733987207e-10,8.093432987712099e-10,5.185872328170651e-10,4.5522375317960836e-10,3.885231377472002e-10,3.2673066539710194e-10,2.836310995206803e-10,2.1621757057411133e-10,1.6686996639993467e-10,1.43634693080019e-10,1.1540110999100012e-10,9.011602947248835e-11
0,0.72,0.3,0.7,-1.0,0.0,1.0,3.5,1.8101496139600152e-08,0.0,0.0,7.648181913091728e-09,0.0,0.0,4.68232495171636e-09,4.149144616194305e-09,0.0,0.0,9.178590343542292e-10,4.031262676758104e-09,1.7815840775694674e-09,1.7340270249348553e-09,1.4232230646191938e-09,2.250387012932336e-09,1.2898301715245435e-09,1.6734287111301222e-09,2.0813454248233645e-09,1.0536185784625854e-09,1.3992960139074644e-09,7.01588734170583e-10,1.1848588216904547e-09,8.844753388652418e-10,6.938370636942845e-10,5.835085228851376e-10,5.137989433325078e-10,5.585915783906522e-10,4.77734649298398e-10,4.3901512955416895e-10,3.0519688644822505e-10,2.628965929304557e-10,2.1912742194536167e-10,1.9994013965947173e-10,1.3580242800282797e-10,1.039521287623334e-10,8.727194361985331e-11
